send,rec,strength,annotation
MOp,MOs,2,
MOp,SSp,4,
MOp,SSs,4,
MOp,VISC,5,
MOp,ILA,9,
MOp,GU,4,
MOp,MOB,9,
MOp,AOB,9,
MOp,AON,6,
MOp,TTd,9,
MOp,TTv,4,
MOp,PIR,9,
MOp,TR,9,
MOp,PAA,9,
MOp,NLOT,9,
MOp,COAa,9,
MOp,COApl,9,
MOp,COApm,9,
MOp,AUDp,6,
MOp,AUDd,9,
MOp,AUDv,9,
MOp,VISlla,9,
MOp,VISal,9,
MOp,VISam,9,
MOp,VISli,9,
MOp,VISlm,9,
MOp,VISpl,9,
MOp,VISp,7,
MOp,VISrl,9,
MOp,ACAd,5,
MOp,ACAv,9,
MOp,PL,9,
MOp,ORBl,6,
MOp,ORBm,9,
MOp,ORBv,9,
MOp,ORBvl,2,
MOp,AId,4,
MOp,AIv,9,
MOp,AIp,5,
MOp,RSPd,4,
MOp,RSPagl,5,
MOp,RSPv,9,
MOp,PTLp,2,
MOp,TEa,9,
MOp,ECT,3,
MOp,PERI,3,
MOp,ENTl,7,
MOp,ENTm,9,
MOp,ENTmv,9,
MOp,PRE,9,
MOp,POST,9,
MOp,PAR,9,
MOp,SUBd,9,
MOp,SUBv,9,
MOp,CA1,9,
MOp,CA3,9,
MOp,DG,9,
MOp,CLA,2,
MOp,EPd,9,
MOp,EPv,9,
MOp,LA,9,
MOp,BLAa,6,
MOp,BLAp,9,
MOp,BMAa,9,
MOp,BMAp,9,
MOp,PA,9,
MOp,CP,2,
MOp,FS,4,
MOp,LSv,9,
MOp,AAA,9,
MOp,CEAm,9,
MOp,CEAl,9,
MOp,CEAc,4,
MOp,MEAad,9,
MOp,MEAav,9,
MOp,MEApv,9,
MOp,BA,9,
MOp,IA,9,
MOp,SI,4,
MOp,BSTal,9,
MOp,BSTam,9,
MOp,BSTov,9,
MOp,BSTju,9,
MOp,BSTrh,9,
MOp,BSTdm,9,
MOp,BSTfu,9,
MOp,BSTv,9,
MOp,BSTmg,9,
MOp,BSTpr,9,
MOp,BSTif,9,
MOp,BSTtr,9,
MOp,VAL,4,
MOp,VM,4,
MOp,PO,4,
MOp,SMT,6,
MOp,PVT,4,
MOp,CM,4,
MOp,CL,4,
MOp,PF,6,
MOp,RT,4,
MOp,PSV,6,
MOp,DR,4,
MOp,NIc,9,
MOp,NId,9,
MOp,PMd,9,
MOp,SNr,6,
MOp,PG,6,
MOp,TRN,6,
MOp,PRC,9,
MOp,MPO,6,
MOp,LHAjp,9,
MOp,LHAs,9,
MOp,STN,6,
MOp,ZI,6,
MOs,MOp,1,
MOs,SSp,4,
MOs,SSs,3,
MOs,VISC,2,
MOs,ILA,4,
MOs,GU,4,
MOs,MOB,9,
MOs,AOB,9,
MOs,AON,9,
MOs,TTd,9,
MOs,TTv,9,
MOs,PIR,9,
MOs,TR,9,
MOs,PAA,9,
MOs,NLOT,9,
MOs,COAa,9,
MOs,COApl,9,
MOs,COApm,9,
MOs,AUDp,9,
MOs,AUDd,9,
MOs,AUDv,9,
MOs,VISlla,9,
MOs,VISal,1,
MOs,VISam,4,
MOs,VISli,9,
MOs,VISlm,5,
MOs,VISpl,9,
MOs,VISp,4,
MOs,VISrl,9,
MOs,ACAd,4,
MOs,ACAv,4,
MOs,PL,3,
MOs,ORBl,4,
MOs,ORBm,4,
MOs,ORBv,5,
MOs,ORBvl,2,
MOs,AId,4,
MOs,AIv,4,
MOs,AIp,2,
MOs,RSPd,4,
MOs,RSPagl,9,
MOs,RSPv,4,
MOs,PTLp,3,
MOs,TEa,5,
MOs,ECT,2,
MOs,PERI,2,
MOs,ENTl,3,
MOs,ENTm,9,
MOs,ENTmv,9,
MOs,PRE,3,
MOs,POST,3,
MOs,PAR,9,
MOs,SUBd,9,
MOs,SUBv,9,
MOs,CA1,9,
MOs,CA3,9,
MOs,DG,9,
MOs,IG,6,
MOs,CLA,4,
MOs,EPd,9,
MOs,EPv,9,
MOs,LA,3,
MOs,BLAa,3,
MOs,BLAp,3,
MOs,BMAa,9,
MOs,BMAp,9,
MOs,PA,9,
MOs,CP,1,
MOs,ACB,4,
MOs,FS,4,
MOs,LSv,9,
MOs,AAA,9,
MOs,CEAm,9,
MOs,CEAl,9,
MOs,MEAad,9,
MOs,MEAav,9,
MOs,MEApv,9,
MOs,BA,9,
MOs,IA,9,
MOs,BSTal,9,
MOs,BSTam,9,
MOs,BSTov,9,
MOs,BSTju,9,
MOs,BSTrh,9,
MOs,BSTv,9,
MOs,BSTmg,9,
MOs,BSTpr,9,
MOs,BSTif,9,
MOs,BSTtr,9,
MOs,VAL,4,
MOs,VM,6,
MOs,VPL,7,
MOs,LP,6,
MOs,PO,6,
MOs,AV,6,
MOs,AD,7,
MOs,LD,4,
MOs,MDl,4,
MOs,RH,7,
MOs,CL,4,
MOs,PF,6,
MOs,RT,6,
MOs,DR,4,
MOs,NIc,6,
MOs,NId,6,
MOs,PMd,9,
MOs,PG,4,
MOs,TRN,4,
MOs,PRC,4,
MOs,MAN,4,
MOs,INC,7,
MOs,PCG,6,
MOs,DTN,9,
MOs,LHAjp,6,
MOs,LHAs,9,
MOs,ZI,4,
MOs,APN,4,
MOs,III,7,
SSp,MOp,1,
SSp,MOs,3,
SSp,SSs,3,
SSp,VISC,9,
SSp,ILA,9,
SSp,GU,9,
SSp,MOB,9,
SSp,AON,9,
SSp,TTd,9,
SSp,TTv,9,
SSp,PIR,9,
SSp,COApm,9,
SSp,AUDp,9,
SSp,VISal,2,
SSp,VISam,5,
SSp,VISlm,9,
SSp,VISp,6,
SSp,ACAd,4,
SSp,ACAv,5,
SSp,PL,9,
SSp,ORBl,6,
SSp,ORBm,9,
SSp,ORBv,9,
SSp,ORBvl,4,
SSp,AId,6,
SSp,AIv,9,
SSp,AIp,4,
SSp,RSPagl,5,
SSp,PTLp,2,
SSp,TEa,6,
SSp,ECT,5,
SSp,PERI,4,
SSp,ENTl,6,
SSp,ENTm,9,
SSp,CLA,5,
SSp,LA,9,
SSp,BLAp,9,
SSp,PA,9,
SSp,CP,12,
SSp,LSv,9,
SSp,PO,4,
SSp,DR,4,
SSp,NIc,9,
SSp,NId,9,
SSp,PMd,9,
SSp,PG,2,
SSp,TRN,6,
SSp,PH,9,
SSp,PRC,9,
SSp,NOT,7,
SSp,APN,6,
SSs,MOp,3,
SSs,MOs,4,
SSs,SSp,1,
SSs,VISC,1,
SSs,ILA,9,
SSs,GU,1,
SSs,MOB,9,
SSs,AOB,9,
SSs,AON,9,
SSs,TTd,9,
SSs,TTv,9,
SSs,PIR,9,
SSs,TR,9,
SSs,PAA,9,
SSs,NLOT,9,
SSs,COAa,9,
SSs,COApl,9,
SSs,COApm,9,
SSs,AUDp,1,
SSs,AUDd,1,
SSs,AUDv,1,
SSs,VISlla,9,
SSs,VISal,5,
SSs,VISam,5,
SSs,VISli,9,
SSs,VISll,9,
SSs,VISlm,9,
SSs,VISpl,9,
SSs,VISp,6,
SSs,VISrl,4,
SSs,ACAd,4,
SSs,ACAv,9,
SSs,PL,9,
SSs,ORBl,4,
SSs,ORBm,9,
SSs,ORBv,4,
SSs,ORBvl,4,
SSs,AId,4,
SSs,AIv,9,
SSs,AIp,1,
SSs,RSPd,9,
SSs,RSPagl,9,
SSs,RSPv,9,
SSs,PTLp,3,
SSs,TEa,1,
SSs,ECT,1,
SSs,PERI,3,
SSs,ENTl,5,
SSs,ENTm,7,
SSs,ENTmv,9,
SSs,PRE,9,
SSs,POST,9,
SSs,PAR,9,
SSs,SUBd,9,
SSs,SUBv,9,
SSs,CA1,9,
SSs,CA2,9,
SSs,CA3,9,
SSs,DG,9,
SSs,IG,9,
SSs,FC,9,
SSs,CLA,4,
SSs,EPd,9,
SSs,EPv,9,
SSs,LA,4,
SSs,BLAa,6,
SSs,BLAp,9,
SSs,BMAa,9,
SSs,BMAp,9,
SSs,PA,9,
SSs,CP,3,
SSs,LSv,9,
SSs,NIc,9,
SSs,NId,9,
SSs,PMd,9,
SSs,PRC,9,
SSs,LHAjp,9,
SSs,LHAs,9,
VISC,MOp,3,
VISC,MOs,4,
VISC,SSp,3,
VISC,SSs,1,
VISC,ILA,9,
VISC,GU,1,
VISC,MOB,9,
VISC,AOB,9,
VISC,AON,9,
VISC,TTd,9,
VISC,TTv,9,
VISC,PIR,3,
VISC,TR,9,
VISC,PAA,7,
VISC,NLOT,9,
VISC,COAa,4,
VISC,COApl,4,
VISC,COApm,9,
VISC,AUDp,9,
VISC,AUDd,9,
VISC,AUDv,9,
VISC,VISlla,9,
VISC,VISal,9,
VISC,VISam,9,
VISC,VISli,9,
VISC,VISll,9,
VISC,VISlm,9,
VISC,VISpl,9,
VISC,VISp,9,
VISC,VISrl,9,
VISC,ACAd,9,
VISC,ACAv,9,
VISC,PL,9,
VISC,ORBl,4,
VISC,ORBm,9,
VISC,ORBv,5,
VISC,ORBvl,4,
VISC,AId,2,
VISC,AIv,9,
VISC,AIp,4,
VISC,RSPd,9,
VISC,RSPagl,9,
VISC,RSPv,9,
VISC,PTLp,9,
VISC,TEa,9,
VISC,ECT,5,
VISC,PERI,5,
VISC,ENTl,4,
VISC,ENTm,7,
VISC,ENTmv,9,
VISC,PRE,9,
VISC,POST,9,
VISC,PAR,9,
VISC,SUBd,9,
VISC,SUBv,9,
VISC,CA1,9,
VISC,CA2,9,
VISC,CA3,9,
VISC,DG,9,
VISC,IG,9,
VISC,FC,9,
VISC,CLA,7,
VISC,EPd,9,
VISC,EPv,5,
VISC,LA,9,
VISC,BLAa,5,
VISC,BLAp,4,
VISC,BMAa,5,
VISC,BMAp,4,
VISC,PA,9,
VISC,FS,2,
VISC,LSv,9,
VISC,CEAm,2,
VISC,CEAl,2,
VISC,CEAc,2,
VISC,MEAad,9,
VISC,MEAav,9,
VISC,IA,7,
VISC,SI,6,
VISC,BSTal,9,
VISC,BSTam,9,
VISC,BSTov,1,
VISC,BSTju,1,
VISC,BSTdm,9,
VISC,BSTfu,9,
VISC,BSTv,6,
VISC,BSTmg,9,
VISC,BSTif,6,
VISC,BSTtr,6,
VISC,VPMpc,6,
VISC,NIc,9,
VISC,NId,9,
VISC,PMd,9,
VISC,PH,9,
VISC,PRC,9,
VISC,LHAjp,9,
VISC,LHAs,9,
ILA,MOp,9,
ILA,MOs,3,
ILA,SSp,9,
ILA,SSs,9,
ILA,VISC,9,
ILA,GU,9,
ILA,MOB,4,
ILA,AOB,9,
ILA,AON,5,
ILA,TTd,5,
ILA,TTv,5,
ILA,PIR,2,
ILA,TR,9,
ILA,PAA,5,
ILA,NLOT,4,
ILA,COAa,2,
ILA,COApl,5,
ILA,COApm,5,
ILA,AUDp,9,
ILA,AUDd,9,
ILA,AUDv,9,
ILA,VISlla,9,
ILA,VISal,9,
ILA,VISam,9,
ILA,VISli,9,
ILA,VISll,9,
ILA,VISlm,9,
ILA,VISpl,9,
ILA,VISp,9,
ILA,VISrl,9,
ILA,ACAd,3,
ILA,ACAv,5,
ILA,PL,2,
ILA,ORBl,9,
ILA,ORBm,4,
ILA,ORBv,5,
ILA,ORBvl,2,
ILA,AId,3,
ILA,AIv,3,
ILA,AIp,4,
ILA,RSPd,9,
ILA,RSPagl,4,
ILA,RSPv,9,
ILA,PTLp,2,
ILA,TEa,9,
ILA,ECT,9,
ILA,PERI,2,
ILA,ENTl,4,
ILA,ENTm,6,
ILA,ENTmv,9,
ILA,PRE,9,
ILA,POST,9,
ILA,PAR,9,
ILA,SUBd,9,
ILA,SUBv,6,
ILA,CA1,6,
ILA,CA2,9,
ILA,CA3,6,
ILA,DG,6,
ILA,IG,9,
ILA,FC,9,
ILA,CLA,9,
ILA,EPd,4,
ILA,EPv,4,
ILA,LA,5,
ILA,BLAa,4,
ILA,BLAp,4,
ILA,BMAa,9,
ILA,BMAp,4,
ILA,PA,5,
ILA,CP,2,
ILA,ACB,1,
ILA,FS,3,
ILA,OT1,9,
ILA,OT2,9,
ILA,OT3,9,
ILA,isl,9,
ILA,islm,9,
ILA,LSc.d.r,9,
ILA,LSc.d.d,9,
ILA,LSc.d.l,9,
ILA,LSc.d.v,9,
ILA,LSc.v.m.d,9,
ILA,LSc.v.m.v,9,
ILA,LSc.v.i,9,
ILA,LSc.v.l.d,9,
ILA,LSc.v.l.v,9,
ILA,LSr.m.d,9,
ILA,LSr.m.v.r,9,
ILA,LSr.m.v.c,9,
ILA,LSr.vl.d.m,9,
ILA,LSr.vl.d.l,9,
ILA,LSr.vl.v,9,
ILA,LSr.dl.m.d,9,
ILA,LSr.dl.m.v,9,
ILA,LSr.dl.l.d,9,
ILA,LSr.dl.l.v,9,
ILA,LSv,9,
ILA,SF,9,
ILA,SH,4,
ILA,AAA,9,
ILA,CEAm,1,
ILA,CEAl,1,
ILA,CEAc,1,
ILA,MEAad,1,
ILA,MEAav,1,
ILA,MEApd-a,9,
ILA,MEApd-b,9,
ILA,MEApd-c,9,
ILA,MEApv,2,
ILA,BA,2,
ILA,IA,4,
ILA,SI,2,
ILA,MA,9,
ILA,MS,2,
ILA,NDB,2,
ILA,TRS,9,
ILA,BSTal,2,
ILA,BSTam,3,
ILA,BSTov,4,
ILA,BSTju,9,
ILA,BSTrh,2,
ILA,BSTdm,3,
ILA,BSTfu,9,
ILA,BSTv,3,
ILA,BSTmg,4,
ILA,BSTpr,4,
ILA,BSTif,3,
ILA,BSTtr,6,
ILA,BSTpm,9,
ILA,BSTd,9,
ILA,BSTse,9,
ILA,BSTsz,9,
ILA,BAC,9,
ILA,BSM,9,
ILA,LING,9,
ILA,CENT2,9,
ILA,CENT3,9,
ILA,CUL4,9,
ILA,CUL5,9,
ILA,DEC,9,
ILA,FOTU,9,
ILA,PYR,9,
ILA,UVU,9,
ILA,NOD,9,
ILA,SIM,9,
ILA,AN,9,
ILA,PRM,9,
ILA,COPY,9,
ILA,PFL,9,
ILA,FL,9,
ILA,FN,9,
ILA,IPp,9,
ILA,DNp,9,
ILA,VAL,9,
ILA,VM,9,
ILA,VPL,9,
ILA,VPLpc,9,
ILA,VPM,9,
ILA,VPMpc,9,
ILA,SPFm,9,
ILA,PP,9,
ILA,MGd,9,
ILA,MGv,9,
ILA,MGm,9,
ILA,LGd,9,
ILA,LP,9,
ILA,PO,9,
ILA,SGN,9,
ILA,POL,9,
ILA,AV,4,
ILA,AMd,9,
ILA,AMv,6,
ILA,AD,6,
ILA,IAD,4,
ILA,LD,9,
ILA,MDm,1,
ILA,MDc,9,
ILA,MDl,1,
ILA,IMD,4,
ILA,SMT,12,
ILA,PR,9,
ILA,PVT,4,
ILA,PT,2,
ILA,REa,9,
ILA,RECc,9,
ILA,RECd,2,
ILA,RECm,2,
ILA,RH,9,
ILA,CM,4,
ILA,CL,9,
ILA,PF,4,
ILA,RT,9,
ILA,SCzo,9,
ILA,SCsg,9,
ILA,SCop,9,
ILA,PBG,9,
ILA,MEV,6,
ILA,PSV,9,
ILA,SPVOvl,9,
ILA,SPVOrdm,9,
ILA,SPVOmdmd,9,
ILA,SPVOcdm,9,
ILA,SPVI,9,
ILA,SPVC,9,
ILA,PAT,9,
ILA,GR,9,
ILA,GRm,9,
ILA,CU,9,
ILA,z,9,
ILA,ECU,9,
ILA,MZ,9,
ILA,SGE,9,
ILA,NP,9,
ILA,RS,9,
ILA,BN,9,
ILA,LCN,9,
ILA,LSN,9,
ILA,IH,9,
ILA,CEC,9,
ILA,DSN,9,
ILA,DSNc,9,
ILA,DCO,9,
ILA,VCOa,9,
ILA,VCOp,9,
ILA,CNspg,9,
ILA,IAN,9,
ILA,NTB,9,
ILA,SOCm,9,
ILA,SOCl,9,
ILA,POR,9,
ILA,ICe,9,
ILA,ICd,9,
ILA,ICc,9,
ILA,NB,9,
ILA,SAG,9,
ILA,NTSm,4,
ILA,NTSce,4,
ILA,NTSco,4,
ILA,NTSge,4,
ILA,NTSl,4,
ILA,PBlc,4,
ILA,PBld,4,
ILA,PBle,4,
ILA,PBlex,9,
ILA,PBli,4,
ILA,PBls,4,
ILA,PBlv,4,
ILA,KF,9,
ILA,PBmm,5,
ILA,PBme,4,
ILA,PBmv,4,
ILA,OV,9,
ILA,SFO,9,
ILA,AP,9,
ILA,SCHd,9,
ILA,SCHv,9,
ILA,SBPV,9,
ILA,TMd,9,
ILA,TMv,6,
ILA,SUMm,4,
ILA,SUMl,5,
ILA,SNc,3,
ILA,PPN,5,
ILA,PRNr,9,
ILA,IF,9,
ILA,IPNr,9,
ILA,IPNa,5,
ILA,IPNd,5,
ILA,IPNld,9,
ILA,IPNli,9,
ILA,IPNlv,9,
ILA,IPNlr,9,
ILA,IPNi,9,
ILA,IPNc,5,
ILA,RL,9,
ILA,CLI,9,
ILA,CSm,6,
ILA,CSl,9,
ILA,DR,4,
ILA,NIc,4,
ILA,NId,4,
ILA,RPO,9,
ILA,RM,9,
ILA,RPA,9,
ILA,RO,9,
ILA,LDT,5,
ILA,SLD,9,
ILA,LC,5,
ILA,SLC,12,
ILA,MPNl,9,
ILA,MPNm,9,
ILA,MPNc,9,
ILA,AHNa,4,
ILA,AHNc,4,
ILA,AHNp,9,
ILA,AHNd,9,
ILA,PVHmpv,5,
ILA,PVHdp,9,
ILA,PVHlp,9,
ILA,PVHf,9,
ILA,VMHa,9,
ILA,VMHdm,9,
ILA,VMHc,9,
ILA,VMHvl,9,
ILA,PMv,9,
ILA,PMd,4,
ILA,MM,3,
ILA,MMme,9,
ILA,LM,3,
ILA,SNr,4,
ILA,VTA,4,
ILA,RR,9,
ILA,SCdg,9,
ILA,SCdw,9,
ILA,RN,9,
ILA,PG,9,
ILA,TRN,9,
ILA,IOda,9,
ILA,IOma,9,
ILA,IOpr,9,
ILA,LRNm,9,
ILA,LRNp,9,
ILA,LIN,9,
ILA,PMR,9,
ILA,PAS,9,
ILA,MV,9,
ILA,LAV,9,
ILA,SUV,9,
ILA,SPIV,9,
ILA,NIS,9,
ILA,PRP,9,
ILA,NR,9,
ILA,INV,9,
ILA,x,9,
ILA,y,9,
ILA,ICB,9,
ILA,MHd,9,
ILA,MHv,9,
ILA,LH,9,
ILA,PH,2,
ILA,PRC,4,
ILA,COM,5,
ILA,PAGrm,9,
ILA,PAGrl,4,
ILA,PAGm,4,
ILA,PAGd,9,
ILA,PAGdl,4,
ILA,PAGvl,4,
ILA,MAN,9,
ILA,INC,12,
ILA,ND,9,
ILA,PCG,9,
ILA,DTN,6,
ILA,LTN,6,
ILA,B,9,
ILA,SG,9,
ILA,CGS,9,
ILA,MEPO,9,
ILA,PSCH,9,
ILA,AVPV,4,
ILA,PVpo,9,
ILA,ADP,9,
ILA,AVP,4,
ILA,PD,9,
ILA,PS,3,
ILA,MPO,4,
ILA,AHA,12,
ILA,DMH,12,
ILA,PVp,9,
ILA,LPO,2,
ILA,LHAjp,1,
ILA,RCH,9,
ILA,LHAs,1,
ILA,STN,9,
ILA,ZI,5,
ILA,ZIda,9,
ILA,FF,9,
ILA,IGL,9,
ILA,LGvl,9,
ILA,LGvm,9,
ILA,OP,9,
ILA,NOT,9,
ILA,PPT,9,
ILA,NPC,9,
ILA,APN,9,
ILA,MPT,9,
ILA,VTN,9,
ILA,AT,9,
ILA,MT,9,
ILA,LT,9,
ILA,DT,9,
ILA,CUN,9,
ILA,PRNc,9,
ILA,GRN,9,
ILA,PGRNd,9,
ILA,PGRNl,9,
ILA,PPYd,9,
ILA,PPYs,9,
ILA,MARN,9,
ILA,SUT,9,
ILA,PARN,5,
ILA,MDRNd,9,
ILA,MDRNv,5,
ILA,SO,4,
ILA,SOr,9,
ILA,NC,9,
ILA,PVHam,9,
ILA,PVHmm,9,
ILA,PVHpmm,9,
ILA,PVHpml,5,
ILA,MEin,9,
ILA,INFin,9,
ILA,NL,9,
ILA,PVHap,4,
ILA,PVHmpd,5,
ILA,PVHpv,9,
ILA,PVa,9,
ILA,PVi,5,
ILA,ARH,9,
ILA,MEex,9,
ILA,INFex,9,
ILA,III,9,
ILA,IV,9,
ILA,VI,9,
ILA,ACVI,9,
ILA,Vpc,9,
ILA,VII,9,
ILA,ACVII,9,
ILA,ECO,9,
ILA,EV,9,
ILA,AMBd,4,
ILA,XI,9,
ILA,XII,9,
ILA,VH,9,
ILA,NBC,9,
ILA,ON,9,
ILA,PN,9,
ILA,EW,6,
ILA,SSN,9,
ILA,ISN,9,
ILA,DMX,4,
ILA,AMBv,4,
ILA,IMLp,9,
ILA,IMLs,9,
ILA,IMM,9,
ILA,ICS,9,
GU,MOp,4,
GU,MOs,4,
GU,SSp,6,
GU,SSs,6,
GU,ILA,9,
GU,PIR,9,
GU,COApm,9,
GU,AUDp,9,
GU,VISal,9,
GU,VISam,9,
GU,VISlm,9,
GU,VISp,9,
GU,ACAd,9,
GU,PL,9,
GU,ORBl,4,
GU,ORBm,9,
GU,ORBv,9,
GU,ORBvl,9,
GU,AId,2,
GU,RSPagl,9,
GU,PTLp,9,
GU,ECT,9,
GU,PERI,4,
GU,ENTl,5,
GU,ENTm,9,
GU,CLA,9,
GU,EPd,9,
GU,LA,9,
GU,BLAp,9,
GU,PA,9,
GU,CP,4,
GU,LSv,9,
GU,BSTal,6,
GU,BSTam,6,
GU,BSTov,6,
GU,BSTju,6,
GU,BSTrh,6,
GU,BSTv,9,
GU,BSTmg,9,
GU,BSTpr,6,
GU,BSTif,6,
GU,BSTtr,6,
GU,VPLpc,9,
GU,VPMpc,2,
GU,LP,9,
GU,PO,4,
GU,MDm,6,
GU,MDl,9,
GU,CM,4,
GU,CL,9,
GU,PF,9,
GU,NIc,9,
GU,NId,9,
GU,PMd,9,
GU,PH,9,
GU,PRC,9,
GU,LHAjp,9,
GU,LHAs,9,
MOB,MOp,9,
MOB,MOs,9,
MOB,ILA,6,
MOB,TTd,6,
MOB,TTv,4,
MOB,PIR,4,
MOB,COApm,9,
MOB,AUDp,9,
MOB,VISal,9,
MOB,VISam,9,
MOB,VISlm,9,
MOB,VISp,9,
MOB,ACAd,9,
MOB,PL,9,
MOB,ORBl,9,
MOB,ORBm,9,
MOB,ORBv,9,
MOB,ORBvl,9,
MOB,RSPagl,9,
MOB,PTLp,9,
MOB,ECT,9,
MOB,PERI,9,
MOB,ENTl,9,
MOB,ENTm,9,
MOB,LA,9,
MOB,BLAp,9,
MOB,PA,9,
MOB,LSv,9,
MOB,NIc,9,
MOB,NId,9,
MOB,PMd,9,
MOB,PH,9,
MOB,PRC,9,
MOB,SO,12,
AOB,MOp,9,
AOB,MOs,9,
AOB,ILA,9,
AOB,COApm,9,
AOB,AUDp,9,
AOB,VISal,9,
AOB,VISam,9,
AOB,VISlm,9,
AOB,VISp,9,
AOB,ACAd,9,
AOB,PL,9,
AOB,ORBl,9,
AOB,ORBm,9,
AOB,ORBv,9,
AOB,ORBvl,9,
AOB,RSPagl,9,
AOB,PTLp,9,
AOB,ECT,9,
AOB,PERI,9,
AOB,ENTl,9,
AOB,ENTm,9,
AOB,LA,9,
AOB,BLAp,9,
AOB,PA,9,
AOB,LSv,9,
AOB,NIc,9,
AOB,NId,9,
AOB,PMd,9,
AOB,PH,9,
AOB,PRC,9,
AOB,SO,12,
AON,MOp,9,
AON,MOs,5,
AON,ILA,4,
AON,MOB,1,
AON,AOB,2,
AON,TTd,4,
AON,TTv,4,
AON,PIR,1,
AON,AUDp,9,
AON,VISal,9,
AON,VISam,9,
AON,VISlm,9,
AON,VISp,9,
AON,ACAd,9,
AON,PL,4,
AON,ORBl,3,
AON,ORBm,4,
AON,ORBv,9,
AON,ORBvl,3,
AON,AIv,4,
AON,RSPagl,9,
AON,PTLp,9,
AON,ECT,9,
AON,PERI,6,
AON,ENTl,7,
AON,ENTm,9,
AON,CLA,4,
AON,EPd,2,
AON,PA,9,
AON,ACB,4,
AON,isl,4,
AON,LSv,9,
AON,SH,4,
AON,NIc,9,
AON,NId,9,
AON,PMd,9,
AON,PH,9,
AON,PRC,9,
TTd,MOp,9,
TTd,MOs,2,
TTd,ILA,4,
TTd,MOB,4,
TTd,COApm,9,
TTd,AUDp,9,
TTd,VISal,9,
TTd,VISam,9,
TTd,VISlm,9,
TTd,VISp,9,
TTd,ACAd,5,
TTd,PL,4,
TTd,ORBl,9,
TTd,ORBm,2,
TTd,ORBv,9,
TTd,ORBvl,6,
TTd,RSPagl,4,
TTd,PTLp,9,
TTd,ECT,9,
TTd,PERI,6,
TTd,ENTl,2,
TTd,ENTm,4,
TTd,LA,9,
TTd,BLAp,9,
TTd,PA,9,
TTd,LSv,9,
TTd,NIc,9,
TTd,NId,9,
TTd,PMd,9,
TTd,PH,9,
TTd,PRC,9,
TTd,DMH,12,
TTd,LHAjp,2,
TTd,LHAs,4,
TTv,MOp,9,
TTv,MOs,9,
TTv,ILA,4,
TTv,MOB,5,
TTv,AON,1,
TTv,TTd,3,
TTv,PIR,1,
TTv,TR,9,
TTv,PAA,9,
TTv,NLOT,4,
TTv,COApl,9,
TTv,COApm,9,
TTv,AUDp,9,
TTv,VISal,9,
TTv,VISam,9,
TTv,VISlm,9,
TTv,VISp,9,
TTv,ACAd,9,
TTv,PL,5,
TTv,ORBl,6,
TTv,ORBm,2,
TTv,ORBv,9,
TTv,ORBvl,9,
TTv,AId,9,
TTv,AIv,9,
TTv,AIp,9,
TTv,RSPagl,9,
TTv,PTLp,9,
TTv,ECT,9,
TTv,PERI,9,
TTv,ENTl,9,
TTv,ENTm,9,
TTv,ENTmv,9,
TTv,EPd,3,
TTv,LA,9,
TTv,BLAp,9,
TTv,PA,9,
TTv,ACB,5,
TTv,isl,4,
TTv,LSv,9,
TTv,SH,4,
TTv,SI,4,
TTv,NIc,9,
TTv,NId,9,
TTv,PMd,9,
TTv,PH,9,
TTv,PRC,9,
TTv,LHAjp,6,
TTv,LHAs,9,
PIR,MOp,9,
PIR,MOs,9,
PIR,ILA,2,
PIR,MOB,3,
PIR,AON,2,
PIR,TTd,1,
PIR,TTv,2,
PIR,TR,3,
PIR,PAA,2,
PIR,NLOT,2,
PIR,COAa,2,
PIR,COApl,2,
PIR,COApm,2,
PIR,AUDp,9,
PIR,VISal,9,
PIR,VISam,9,
PIR,VISlm,9,
PIR,VISp,9,
PIR,ACAd,9,
PIR,PL,9,
PIR,ORBl,3,
PIR,ORBm,4,
PIR,ORBv,9,
PIR,ORBvl,4,
PIR,AId,3,
PIR,AIv,3,
PIR,AIp,3,
PIR,RSPagl,9,
PIR,PTLp,9,
PIR,ECT,3,
PIR,PERI,3,
PIR,ENTl,2,
PIR,ENTm,3,
PIR,ENTmv,3,
PIR,PAR,9,
PIR,SUBv,9,
PIR,CA1,9,
PIR,CA3,9,
PIR,DG,7,
PIR,IG,2,
PIR,EPd,2,
PIR,EPv,2,
PIR,LA,4,
PIR,BLAa,5,
PIR,BLAp,2,
PIR,BMAa,2,
PIR,BMAp,5,
PIR,PA,9,
PIR,ACB,4,
PIR,FS,4,
PIR,isl,4,
PIR,LSr.vl.d.m,5,
PIR,LSv,9,
PIR,SH,3,
PIR,AAA,2,
PIR,SI,4,
PIR,MS,6,
PIR,NDB,4,
PIR,PPN,12,
PIR,NIc,9,
PIR,NId,9,
PIR,PMd,9,
PIR,PH,9,
PIR,PRC,9,
PIR,LHAjp,6,
PIR,LHAs,9,
TR,MOp,9,
TR,MOs,9,
TR,ILA,4,
TR,PIR,3,
TR,PAA,5,
TR,NLOT,2,
TR,COAa,4,
TR,COApl,3,
TR,COApm,4,
TR,AUDp,9,
TR,AUDd,9,
TR,AUDv,9,
TR,VISlla,9,
TR,VISal,9,
TR,VISam,9,
TR,VISll,9,
TR,VISlm,9,
TR,VISp,9,
TR,VISrl,9,
TR,ACAd,9,
TR,PL,4,
TR,ORBl,9,
TR,ORBm,9,
TR,ORBv,9,
TR,ORBvl,9,
TR,RSPd,9,
TR,RSPagl,9,
TR,PTLp,9,
TR,TEa,9,
